"","gene","folds_selected"
"1","bcar3",9
"2","cacnb3",9
"3","cdkn2a",9
"4","f2rl3",9
"5","rcc1l",9
"6","sgsm3",9
"7","ube2q1",9
"8","chpt1",8
"9","secisbp2l",8
"10","sez6l",8
"11","tuft1",8
"12","mc1r",6
"13","med22",6
"14","rassf7",6
"15","bche",5
"16","csrp3",5
"17","tshb",5
"18","zdhhc4",5
"19","clic5",4
"20","esm1",4
"21","hesx1",4
"22","lgr5",4
"23","tph1",4
"24","drd5",3
"25","lrp5l",3
"26","nr1h4",3
"27","slc29a2",3
"28","tpst2",3
"29","agbl2",2
"30","lmo7",2
"31","mab21l2",2
"32","tjp3",2
"33","tsg101",2
"34","ace",1
"35","ache",1
"36","ccdc6",1
"37","cdk5rap2",1
"38","cysltr2",1
"39","dhx57",1
"40","fkbp11",1
"41","hnrnpl",1
"42","hspg2",1
"43","igsf1",1
"44","inhbc",1
"45","kars1",1
"46","klhl5",1
"47","lrfn4",1
"48","mettl8",1
"49","mospd3",1
"50","pard6a",1
"51","phb2",1
"52","plk2",1
"53","rbl1",1
"54","rbmx2",1
"55","rgs14",1
"56","rln1",1
"57","slc5a5",1
"58","tmem115",1
"59","trmu",1
